index|quem|o_que|quando|onde|por_que|como
269|comprador na OLX|golpista anuncia produto em vários estados e recusa método seguro da OLX||OLX||golpista combina entrega em local errado e insiste em Sedex 10|
270|vendedor do teclado|comprador pede fotos, vídeos e número de série do teclado||OLX||comprador alega que quer verificar autenticidade do produto|
271||||||
272||||||
273|pessoa que depositou dinheiro|cadastro em site falso de cassino usando deepfake|sábado|site falso da UP bet|promoção falsa de dobra de banca|golpe usou link enviado em grupo de cassino no Telegram|
274|pessoa que comprou em leilão|compra em site falso de leilão de celular||site de leilão no Google Notícias||pagamento realizado sem entrega do produto|
275|mulher que recebeu ligação|ligação de número privado com abordagem inadequada|enquanto trabalhava|ligação telefônica||homem fez comentários inapropriados e desligou após resposta grossa|
276||||||
277|cliente do Uber Mercado|entregador substituiu itens por "Aaa" e aprovou sem consentimento|hoje de tarde|Uber Mercado||entregador alterou itens do pedido e justificou com erro no sistema|
278||||||
279||||||
280||||||
281||||||
282||||||
283||||||
284||||||
285||||||
286||||||
287||||||
288||||||
289|pessoa que emprestou celular|homem usou celular para ligar para contato salvo como "namorada"|hoje|shopping||homem fingiu ligar para namorada, mas contato não era dela|
290||||||
291||||||
292||||||
293||||||
294||||||
295||||||
296||||||
297||||||
298||||||
299||||||
300||||||
301||||||
302|pessoa que pediu conta no Privacy|alguém pedindo para criar conta no Privacy e perguntando se tem R$20|||pedido suspeito de criação de conta e solicitação de dinheiro|
303|vendedor da placa de vídeo|comprador no Mercado Livre pode alegar defeito na placa para devolução|hoje|Mercado Livre||comprador fez compra e enviou mensagens suspeitas após a confirmação|
304|comprador do PS4|status da entrega está como "Pendente" na OLX|desde 5/5|OLX||vendedor enviou produto, mas status não foi atualizado|
305|cliente do iFood|entregadores não entregam pedidos e alegam tentativa de golpe|desde Abril|iFood||entregadores não tocam interfone e deixam pedido sem entrega|
306|pessoa que recebeu e-mail|e-mail suspeito sobre importação com link malicioso||e-mail||mensagem não solicitada com link suspeito|
307|comprador do carro|carro com número de motor irregular e documento inconsistente|após uma semana da venda|||vendedor original não resolve problema do motor|
308|cliente da XP|vazamento de dados da XP expôs informações financeiras||XP|falha de segurança da corretora|dados vazados incluíam saldos de contas|
309|compradora da mochila|loja online sumiu após compra no Mercado Shops|mês passado|site da papelaria|site duplicado ou golpe|links da compra não funcionam mais|
310|pessoa que recebeu mensagem|mensagem falsa sobre taxação de importação|||dados pessoais vazados|golpista usou nome e endereço da vítima|
311|cliente do Itaú|SMS sobre compra negada que não consta no app||Itaú||mensagem suspeita fora do horário de atividade|
312|cliente do iFood|entregador alega assalto e pede Pix para reembolso||iFood/WhatsApp||golpe usando situação de emergência falsa|
313|pessoa que recebeu mensagem|mensagem falsa sobre taxação com CNPJ verificado||WhatsApp|dados vazados|golpista usou informações pessoais|
314|amigo que recebeu Pix|Pix de valor alto alegando engano|||possível golpe de Pix agendado|golpista pede devolução de valor não confirmado|
315||||||
316||||||
317|pessoa abordada no restaurante|homem alega que vítima tirou foto e pede para ver celular||bairro de alto padrão||tentativa de roubo com desculpa falsa|
318|cliente da Caixa|descontos mensais de R$0,05 na conta|últimos 5 anos|Caixa Tem||possível cobrança indevida em massa|
319|vendedor da HQ|comprador quer negociar entrega diretamente|||opção suspeita de entrega fora da plataforma|
320||||||
321|compradora no Mercado Livre|e-mail suspeito sobre entrega não realizada||Mercado Livre||mensagem não relacionada ao e-mail da conta|
322|cliente do iFood|entregador pede Pix após alegar assalto||iFood/WhatsApp||golpe usando situação falsa de emergência|
323|cliente da Oi Fibra|golpistas recolheram equipamento antes do agendamento|26/04|Oi Fibra|vazamento de dados|contato falso confirmou retirada antecipada|
324|pessoa que viu anúncio|ingressos com limite falso e pagamento apenas por Pix||Facebook|anúncio sem comentários|site suspeito com urgência artificial|
325|pessoa que recebeu mensagem|mensagem sobre Pix não recebido pedindo devolução|||golpe com apelo emocional|golpista usa informações limitadas|
326|comprador online|loja com preços baixos e avaliações suspeitas||site de compras|avaliações possivelmente forjadas|diferença gritante de preços|
327||||||
328||||||
329|cliente de energia elétrica|ligação suspeita pedindo dados pessoais||telefone|dados vazados|golpista usou informações corretas para ganhar confiança|
330|namorada da pessoa|golpe de concurso falso do INSS||site falso|página clonada do G1/INSS|pagamento de taxa e imposto inexistentes|
331|mãe da pessoa|golpe de "missões" com promessa de reembolso||TikTok/WhatsApp|promessa de ganho fácil|vítima enviou grandes quantias sem retorno|
332|pessoa que recebeu Pix|Pix não solicitado de empresa desconhecida||||possível golpe ou erro de transferência|
333|empresa desenvolvedora de softwares de segurança cibernética ESET, público brasileiro|malwares bancários (trojans, worms, backdoor), prejuízos não especificados|três primeiros meses de 2025|sistemas infectados, internet|vulnerabilidades em softwares, usuários que baixam arquivos duvidosos|malwares se disfarçam de programas legítimos, capturam telas, emulam teclado/mouse, baixam outros arquivos maliciosos, manipulam tráfego, se replicam, exploram vulnerabilidades conhecidas
334|adolescentes, grupo suspeito utilizando plataformas digitais|práticas de automutilação, suicídio, planejamento de ataques a escolas, escravização virtual|nesta quinta-feira (19)|plataformas digitais|coação de adolescentes, exploração de vulnerabilidades emocionais|utilização de plataformas digitais para coagir e compartilhar conteúdos íntimos, esquemas de escravização virtual
335|vítimas de abuso sexual e pornografia infantil, usuários do Telegram no Brasil|comercialização e compartilhamento de imagens de abuso sexual e pornografia infantil|nesta semana (data não especificada)|Telegram (grupos, canais e comunidades)|falta de moderação efetiva, uso de criptomoedas e fintechs internacionais para pagamentos|grupos no Telegram compartilham e vendem conteúdo criminoso, moderadores e IA insuficientes para coibir totalmente a prática
336|vítimas de fraude no reconhecimento facial, golpistas cibernéticos|fraude no reconhecimento facial para desvio de valores, prejuízo de R$ 251 mil|nesta sexta-feira (18)|instituições financeiras (sistemas de reconhecimento facial)|vulnerabilidade no sistema de reconhecimento facial|golpistas usaram fotos dos rostos das vítimas ("bonecos") para burlar o reconhecimento facial
337|homens ao redor da Ásia (Taiwan, Cingapura, Índia), golpistas usando deepfake|golpe amoroso com deepfake, prejuízo de US$ 46 milhões|na segunda-feira (14)|plataforma falsa de criptomoeda, chamadas de vídeo com deepfake|vítimas enganadas por identidades falsas e intimidade construída online|uso de deepfake em vídeo/áudio, criação de plataforma falsa de criptomoeda, manipulação emocional das vítimas  
338|vítimas de crimes cibernéticos no Amazonas|estelionato, invasão de dispositivo informático, ameaça, falsa identidade|entre janeiro e agosto de 2024|dispositivos informáticos, internet|aumento da vulnerabilidade digital, falta de conscientização|técnicas variadas de golpes online, como phishing, invasão de sistemas e falsificação de identidade
339|moradores do estado da região Norte (Pará), 32 suspeitos presos|falsos leilões de veículos, golpes em plataformas de vendas, clonagem de WhatsApp, crimes contra vulneráveis|não especificado (durante a Operação Guardião)|redes sociais, plataformas de vendas, WhatsApp|vulnerabilidade dos usuários em transações online, falta de verificação em plataformas|replicação de sites legítimos, falsificação de anúncios, invasão de contas, clonagem de WhatsApp  
340|Hasan Rabee (repatriado de Gaza), autores das ameaças|ameaças de execução, injúria racial, difamação, calúnia|desde o retorno ao Brasil (quarta-feira, 15)|redes sociais|polarização política, preconceito contra palestinos|mensagens de ódio e ameaças via redes sociais, associação indevida a conflitos políticos
341|Ministério da Justiça e Segurança Pública, plataformas de redes sociais e streaming|criação de programa contra crimes cibernéticos infantojuvenis, recebimento de denúncias|nesta segunda-feira (16)|site "De boa na rede", redes sociais, serviços de streaming|exposição de crianças e adolescentes a conteúdos nocivos na internet|ferramentas de controle parental, tutoriais de monitoramento, parceria com empresas de tecnologia  
342|vítimas de fraudes cibernéticas, FBI e agências europeias|desmantelamento de rede de computadores hackeados, apreensão de US$ 8 milhões em criptomoedas|na terça-feira (29)|botnet Qakbot, computadores infectados globalmente|vulnerabilidades em sistemas exploradas por malware|uso de Qakbot para ransomware, remoção de malware por autoridades, recompensa por informações sobre hackers
343|vítimas de violência contra mulheres no Rio de Janeiro|25% dos casos de violência contra mulheres ocorreram no ambiente virtual|entre janeiro e agosto deste ano|ambiente virtual (redes sociais, mensagens, etc.)|vulnerabilidade de mulheres a abusos online|violência digital, incluindo assédio, ameaças e difamação  
344|crianças e adolescentes, pais/responsáveis|lançamento de ferramenta de monitoramento parental no Discord|hoje (12)|plataforma Discord|exposição de menores a conteúdos criminosos e extremistas|Central da Família monitora interações sem acessar mensagens privadas
345|vítimas de abuso sexual infantojuvenil, Polícia Federal|armazenamento e compartilhamento de arquivos de abuso sexual infantojuvenil, 106 prisões|entre 1º de janeiro e a primeira semana de maio deste ano|aplicativos de mensagens, redes sociais, celulares|vulnerabilidade de crianças e adolescentes a exploração online|operações policiais com base em denúncias de provedores como Facebook, Instagram, WhatsApp, etc.
347|vítimas do serviço Atomic Wallet, hackers norte-coreanos|roubo de pelo menos US$ 35 milhões em criptomoedas|na terça-feira (6)|serviço de criptomoedas Atomic Wallet|vulnerabilidades no serviço de criptomoedas|hackers usaram técnicas de lavagem de dinheiro e ferramentas associadas à Coreia do Norte
348|pacientes e funcionários do Idaho Falls Community Hospital, hackers (possivelmente ransomware)|ataque cibernético afetando sistemas hospitalares, desvio de ambulâncias|na segunda-feira (29)|Idaho Falls Community Hospital e Mountain View Hospital|sistemas hospitalares vulneráveis a ciberataques|ataque possivelmente envolvendo ransomware, forçando uso de registros em papel
349|famílias e memória de Marília Mendonça e Gabriel Diniz, André Felipe de Souza Alves Pereira|divulgação de fotos dos corpos, crimes de ódio (nazismo, racismo, xenofobia), incitação à violência escolar|entre junho de 2022 e abril de 2023|redes sociais (Twitter, etc.)|discurso de ódio e exploração de tragédias para disseminar terror|publicação de conteúdo ofensivo, uso de identidade falsa, incentivo a ataques em escolas
350|famílias de Marília Mendonça, Gabriel Diniz e Cristiano Araújo, homem de 22 anos preso|divulgação ilegal de fotos e vídeos dos corpos dos artistas mortos|nesta segunda-feira (17)|Twitter e redes sociais|falta de controle sobre imagens sensíveis e desrespeito à memória das vítimas|compartilhamento indiscriminado de conteúdo obtido ilegalmente
351|vítimas de crimes cibernéticos, países signatários da Convenção|promulgação da Convenção sobre o Crime Cibernético para reforçar a proteção de dados e cooperação internacional|na semana passada (sem data específica)|âmbito internacional (internet, dispositivos digitais)|vulnerabilidades em sistemas e falta de legislação harmonizada|estabelecimento de crimes cibernéticos, troca de informações entre países, persecução penal
352|Superior Tribunal Militar (STM), tenente brigadeiro Francisco Joseli Parente Camelo|ataque cibernético de negação de serviço (DDoS) ao portal do STM|16 de março|portal do STM (sistema online)|vulnerabilidade de sistemas judiciais a sobrecarga de acessos|ataque com robôs gerando 1,8 milhão de requisições para derrubar o portal
353|potenciais vítimas de phishing e desinformação, criminosos cibernéticos|uso indevido do ChatGPT para phishing, desinformação e criação de códigos maliciosos|nesta segunda-feira (27)|plataforma ChatGPT e outras ferramentas de IA|vulnerabilidades na verificação de conteúdo gerado por IA|exploração do ChatGPT para textos realistas, propagação de narrativas falsas e geração de códigos maliciosos
354|vítimas de crimes cibernéticos (crianças, adolescentes, instituições financeiras), Polícia Federal|combate a crimes sexuais infantis e fraudes bancárias com novas tecnologias|não especificado (projetos em andamento)|ambiente digital (internet, sistemas bancários, redes criminosas)|crescimento e sofisticação dos crimes cibernéticos|uso de ferramentas tecnológicas avançadas, cooperação internacional, cruzamento de dados
355|vítimas de golpes financeiros, criminosos usando identidade de empresas/escritórios|golpe do Pix via WhatsApp com falsificação de identidade empresarial|casos recentes (sem data exata)|WhatsApp (canal de comunicação)|vazamento de dados sigilosos e falta de verificação de identidade|uso de nomes/logotipos de empresas reais, envio de documentos falsificados, pressão por transferências via Pix
357|portadores de cartões de crédito, grupo hacker Prilex|fraude em pagamentos por aproximação forçando inserção do cartão em máquinas infectadas|versões identificadas desde novembro de 2022|máquinas de cartão infectadas|exploração de vulnerabilidades em sistemas de pagamento|instalação de vírus via falsas atualizações, bloqueio seletivo de transações por aproximação, roubo de dados ao inserir o cartão
358|usuários do Bilhete Único (13 milhões de cadastros), SPTrans|vazamento de dados cadastrais sensíveis de usuários|dados referentes a abril/2020, ataque identificado em 15/06|sistemas da SPTrans|vulnerabilidades nos sistemas de proteção de dados|ataque cibernético resultando em exposição de informações pessoais e credenciais de acesso
359|vítimas de stalking (perseguição), Apple (fabricante do AirTag)|uso indevido do AirTag para perseguição e rastreamento não consentido|processo judicial apresentado em 5/12 (sem ano especificado)|dispositivos AirTag (geolocalização via Bluetooth)|falta de alertas eficazes contra rastreamento abusivo|dispositivo originalmente projetado para localizar objetos, mas usado para monitorar pessoas sem consentimento
360|Binance (exchange de criptomoedas), hackers|ataque cibernético resultando em roubo de US$ 570 milhões em criptomoedas|nesta sexta-feira (7)|BNB Chain (antiga Binance Smart Chain)|vulnerabilidades em pontes blockchain|exploração de uma ponte blockchain para transferir fundos ilegalmente
361|processo eleitoral brasileiro, Agência Brasileira de Inteligência (Abin)|riscos de interferências externas, ataques cibernéticos e ameaças à democracia|eleições de 2022 (período eleitoral)|ambiente digital e infraestruturas críticas do pleito|vulnerabilidades em sistemas eleitorais e manipulação informacional|monitoramento de ameaças sem envolver urnas eletrônicas, foco em ações que possam influenciar eleitores
362|15 milhões de clientes do Morgan Stanley, reguladores federais dos EUA (SEC)|manuseio inadequado e vazamento de dados confidenciais de clientes|incidentes ocorridos desde pelo menos 2015|dispositivos físicos (discos rígidos e servidores) e sistemas internos|falhas na proteção e descarte seguro de dados|contratação de empresa inexperiente para descarte, venda acidental de dispositivos com dados não criptografados
363|Wintermute (empresa de negociação de criptomoedas), hackers|roubo de US$ 160 milhões em ativos digitais|nesta terça-feira (20)|plataforma de negociação descentralizada da Wintermute|vulnerabilidades em sistemas de criptomoedas|exploração de brechas para transferir ilegalmente 90 ativos digitais
364|empresas e funcionários (clientes da SocialProof Security), Rachel Tobac (CEO)|uso de videoclipes musicais para treinamento em segurança digital|desde janeiro de 2021 (projeto expandido em agosto)|plataformas corporativas e redes sociais (Twitter, TikTok)|falta de engajamento em treinamentos tradicionais de segurança|criação de músicas e vídeos educativos sobre phishing, senhas e ransomware
365|órgãos governamentais brasileiros (Ministério da Saúde, CGU, ANTT, etc.), Polícia Federal|ataques cibernéticos com ransomware contra sistemas públicos|10 de dezembro de 2021 (ataque principal)|sites e sistemas governamentais (ConecteSUS, Portal Covid, etc.)|vulnerabilidades em infraestruturas digitais públicas|grupo transnacional usou ransomware para sequestrar dados e exigir resgate, deletando arquivos críticos
366|Estados Unidos, Coreia do Norte (Lazarus Group), Tornado Cash|sanções contra mixer de criptomoedas por lavagem de US$ 7 bilhões|nesta segunda-feira (8)|plataforma Tornado Cash (serviço de mixagem de criptomoedas)|uso de mixers para ocultar origens de fundos ilícitos|serviço empregado por hackers para lavar dinheiro, incluindo US$ 455 milhões do grupo norte-coreano Lazarus
367|clientes de bancos e serviços financeiros, criminosos cibernéticos|aumento de 97% em golpes de phishing bancário|entre janeiro e julho deste ano|mensagens fraudulentas (e-mails, SMS, links falsos)|exploração da confiança do usuário e falta de verificação|envio de links maliciosos simulando instituições financeiras para roubo de dados
368|usuários do Pix no Brasil, criminosos cibernéticos|aumento de 1191% em golpes envolvendo o Pix|primeiro semestre de 2022 (vs. mesmo período em 2021)|mensagens fraudulentas (WhatsApp, SMS, links falsos)|exploração da popularidade do Pix e falta de verificação|envio de links maliciosos e falsas solicitações de transferência
369|organizadores do manifesto em defesa da democracia, hackers|mais de 2.000 tentativas de ataques cibernéticos ao site de assinaturas|desde terça-feira (26)|site de coleta de assinaturas do manifesto|vulnerabilidades em plataformas de mobilização política|tentativas de derrubada do site e inclusão de assinaturas falsas
370|funcionários da União Europeia (incluindo o comissário de Justiça Didier Reynders), NSO Group (empresa israelense)|possível espionagem via spyware Pegasus em smartphones|evidências detectadas em 25 de julho (sem data exata de infecção)|iPhones de funcionários da UE|exploração de vulnerabilidades em dispositivos móveis|uso do Pegasus, software de espionagem vendido a governos, para monitorar alvos
371|beneficiários do Auxílio Brasil, criminosos cibernéticos|golpe de phishing prometendo falso auxílio de R$ 2.500 via Pix|entre 13 e 20 de julho (pico recente)|WhatsApp, SMS, e-mails e sites falsos|exploração da vulnerabilidade socioeconômica e desinformação|envio de links maliciosos simulando consulta ao benefício, com coleta de dados pessoais
372|Christine Lagarde (presidente do BCE), Banco Central Europeu|tentativa de ataque cibernético contra a presidente do BCE|nesta terça-feira (12)|sistemas do Banco Central Europeu|vulnerabilidades em infraestruturas críticas financeiras|ataque identificado e interrompido antes de comprometer dados
373|vítimas de abuso sexual infantil, polícias de sete países (incluindo Brasil e EUA)|operações contra pornografia infantil com 66 prisões (26 no Brasil)|nesta quinta-feira (30)|deep web e plataformas online|anonimato e alcance global de redes criminosas|rastreamento de endereços virtuais e cumprimento de 163 mandados internacionais
374|contribuintes brasileiros, criminosos cibernéticos|golpe de phishing simulando regularização de CPF|alertado nesta terça-feira (21)|SMS, WhatsApp e e-mails falsos|exploração da credibilidade da Receita Federal|envio de links fraudulentos cobrando taxas inexistentes por serviços gratuitos
375|empresas brasileiras, Confederação Nacional das Seguradoras (CNseg)|aumento de 41,5% na procura por seguros cibernéticos|primeiro trimestre de 2022 (vs. mesmo período em 2021)|sistemas corporativos (redes internas, e-commerce, etc.)|aumento da vulnerabilidade com trabalho remoto e hiperdigitalização|empresas investindo R$ 34,5 milhões em proteção contra ransomware e outros ataques
376|proprietários de veículos Tesla e fechaduras inteligentes, hackers|vulnerabilidade em fechaduras digitais via Bluetooth (BLE)|demonstrado nesta terça-feira (17)|sistemas de fechadura digital (carros Tesla e residências)|falha no protocolo Bluetooth de Baixa Energia (BLE)|uso de dispositivo de retransmissão para simular proximidade e desbloquear remotamente
377|empresas vítimas de ransomware, grupos criminosos cibernéticos|sequestro de dados via ransomware com exigência de resgate|dados coletados em período recente (sem data exata)|sistemas corporativos (redes internas, servidores, etc.)|vulnerabilidades em infraestruturas digitais e pressão por continuidade dos negócios|criptografia de dados seguida de extorsão, com 88% das empresas já atacadas dispostas a pagar
378|proprietários de NFTs do Bored Ape Yacht Club (BAYC), hackers|roubo de NFTs via golpe de phishing no Instagram e Discord|25 de abril (segunda-feira)|contas oficiais do BAYC no Instagram e Discord|exploração da expectativa pelo lançamento do metaverso Otherside|publicação de link falso para "airdrop" que transferiu NFTs para carteiras criminosas
379|clientes de bancos brasileiros, instituições financeiras (Febraban)|aumento de golpes financeiros digitais durante a pandemia|dados de fevereiro deste ano|aplicativos bancários, SMS, WhatsApp|exploração da migração para o digital e vulnerabilidades em transações|investimento de R$ 25,7 bilhões/ano em tecnologias como biometria, análise comportamental e notificações em tempo real
380|empresas vítimas de ransomware, grupos criminosos cibernéticos|pagamentos médios de resgate subiram 78% para US$ 541 mil em 2021|dados referentes a 2021|sistemas corporativos (incluindo cloud e IoT)|extorsão múltipla (criptografia + ameaça de vazamento) e exploração de vulnerabilidades zero-day|ataques com ransomware-as-a-service e foco em setores como saúde e varejo
381|vítimas de roubo/furto de celulares, criminosos digitais|roubo de celulares seguido de acesso a contas bancárias via Pix|dados referentes a 2021 e início de 2022|smartphones roubados (com acesso a apps bancários)|exploração de brechas na autenticação por SMS e desbloqueio rápido de dispositivos|transferências via Pix realizadas antes do bloqueio, usando códigos de SMS para redefinir senhas
382|mulheres vítimas de exposição íntima não consentida, pesquisadores da Fiocruz|impactos na saúde mental (depressão, ideação suicida, etc.) por vazamento de imagens|dados coletados no segundo semestre de 2020|redes sociais e plataformas digitais|violência de gênero e controle da sexualidade feminina|divulgação de conteúdo íntimo para fins de vingança, extorsão ou afirmação de masculinidade
383|empresas transatlânticas (EUA-UE), cidadãos da UE|novo acordo para fluxo de dados pessoais entre EUA e UE|anunciado em 25/03 (sexta-feira)|transferências de dados entre EUA e UE|preocupações com privacidade e leis de vigilância dos EUA|estabelecimento de garantias para proteger dados da UE, com mecanismos de reparação em caso de vigilância ilegal
384|empresas e governos locais dos EUA, FBI e DHS|risco elevado de ataques ransomware após sanções à Rússia|alertado nesta terça-feira (22)|infraestruturas críticas dos EUA|ambiente permissivo para cibercriminosos na Rússia|ameaça de interrupção de serviços essenciais, como visto no ataque ao Colonial Pipeline em 2021
385|vítimas de discurso de ódio online, Safernet (organização de direitos humanos)|aumento de 60,7% em denúncias de neonazismo na internet|dados comparando 2020 e 2021|plataformas online (redes sociais, fóruns, etc.)|crescimento de extremismo digital e discurso de ódio|denúncias anônimas resultaram na remoção de 318 links neonazistas por autoridades
386|órgãos do governo federal (Ministério da Saúde, Correios, etc.), Lapsus$ Group (grupo hacker)|ataques cibernéticos que derrubaram sites governamentais|últimas semanas (com pico em 23/02)|sistemas públicos (ConecteSUS, Correios, etc.)|vulnerabilidades em infraestruturas digitais governamentais|invasões e interrupção de serviços, como a queda do site dos Correios por 2 horas
387|Ministério da Saúde, cidadãos brasileiros (dados vazados), Lapsus$ Group|ataque hacker com roubo de 50 TB de dados sensíveis|na madrugada de sexta-feira (10)|sistemas do Ministério da Saúde (incluindo dados de vacinação)|vulnerabilidades em infraestruturas digitais governamentais|invasão classificada como "hacktivismo", com possível motivação política sobre passaporte vacinal
388|empresas dos EUA (como Colonial Pipeline), Cyber Command dos EUA|operações ofensivas contra grupos de ransomware|ações recentes (com pico após ataque à Colonial Pipeline em maio)|redes criminosas (especialmente no Leste Europeu e Rússia)|vulnerabilidade de infraestruturas críticas a extorsão digital|hackbacks e vigilância de redes criminosas, com foco em cortar financiamento de hackers
389|cofres públicos (INSS), Polícia Federal|fraude em aposentadorias rurais com documentos falsos|operação realizada nesta terça-feira (9)|sistemas previdenciários (via documentos fraudulentos)|exploração de brechas em processos de concessão|esquema organizado por advogados que resultou em prejuízo de R$ 55,8 milhões
390|empresas dos EUA (como Kaseya), Departamento de Justiça dos EUA|apreensão de US$ 6 milhões em resgates de ransomware e acusação de hackers|ataques ocorridos em julho (com ações judiciais em 8/11)|sistemas corporativos (especialmente via malware REvil)|exploração de vulnerabilidades em redes empresariais|operação internacional que prendeu ucraniano e russo ligados a ataques que afetaram 1.500 empresas
391|Wilfried Zaha (jogador do Crystal Palace), agressores racistas|ataques racistas online após vitória sobre o Manchester City|no sábado (30)|Instagram (redes sociais)|discurso de ódio e falta de moderação eficaz|comentários racistas direcionados ao atleta via mensagens privadas
392|vítimas de discurso de ódio, Polícia Federal|aumento de 900% em inquéritos sobre apologia ao nazismo (2011-2020)|dados até 21/10/2021|ambiente online e grupos neonazistas|crescimento de extremismo ideológico|282 inquéritos federais em 10 anos, com concentração em SP, RJ e PR
393|vítimas de discurso de ódio, comunidade judaica, Confederação Israelita do Brasil (Conib)|apologia ao nazismo e crimes correlatos (como posse de material ilegal)|dados de 2011 a 2021 (com pico recente)|redes sociais e grupos extremistas offline|crescimento de movimentos extremistas e discurso de ódio|30 ocorrências policiais em 6 estados, incluindo apreensão de acervo nazista no RJ
394|usuários do Pix no Brasil, Banco Central|novas regras para aumentar segurança nas transações via Pix|entram em vigor na segunda-feira (4)|aplicativos bancários e transações digitais|exploração de vulnerabilidades humanas (engenharia social)|limite de R$ 1.000 para transferências noturnas e aprimoramento de autenticação
395|empresas vítimas de ransomware, Departamento do Tesouro dos EUA|sanções contra casas de câmbio de criptomoedas usadas por criminosos|anunciadas nesta terça-feira (21)|redes criminosas e exchanges de criptomoedas (como SUEX OTC)|lavagem de US$ 400 milhões em resgates em 2020|bloqueio de transações com entidades suspeitas e reforço na regulamentação
396|usuários de contas Microsoft (Outlook, OneDrive), empresas corporativas|eliminação de senhas tradicionais por autenticação biométrica e códigos|lançamento previsto para as próximas semanas|serviços Microsoft (Windows Hello, Authenticator)|vulnerabilidade de senhas tradicionais a ataques (18 bilhões/ano)|autenticação via reconhecimento facial, PIN ou chaves de segurança físicas
397|usuários do Pix no Brasil, Banco Central|novas medidas de segurança para combater golpes e sequestros relâmpago|anunciadas nesta sexta-feira (sem data específica)|transações via Pix e aplicativos bancários|exploração de vulnerabilidades em pagamentos instantâneos|limitação de horários e valores, além de autenticação reforçada para transações
398|usuários do Pix no Brasil, Banco Central|novas restrições para conter fraudes no Pix (limites horários e de valor)|anunciadas recentemente (sem data específica)|transações via Pix e aplicativos bancários|exploração de vulnerabilidades em pagamentos instantâneos|bloqueio de horários noturnos e limitação de valores para transações
399|empresas seguradas pela AIG, mercado global de seguros|aumento de 40% nos prêmios de seguros contra cibercrimes|anunciado nesta sexta-feira (6)|mercado global de seguros (com foco na América do Norte)|crescimento de ataques ransomware e riscos sistêmicos|restrição de coberturas e redução de limites nas apólices
400|países da União Europeia, Comissão Europeia|criação de unidade conjunta contra crimes digitais|anunciada nesta quarta-feira (23)|âmbito europeu (27 países)|aumento de ameaças cibernéticas transnacionais|grupo operacional com compartilhamento de inteligência e recursos até 2023
401|empresas vítimas de ransomware, seguradoras (como AIG)|aumento de 150% em pedidos de resgate entre 2018-2020|dados até 2021 (com crescimento contínuo)|sistemas corporativos globais|vulnerabilidades em infraestruturas digitais e pressão por pagamentos|seguros cibernéticos cobrindo até 50% dos resgates, com prêmios subindo 22% em 2020
402||||||
403|vítimas do golpe do FGTS|golpe com promessa de saque de até R$ 3.900 do FGTS, roubo de informações pessoais e dinheiro||aplicativos de mensagens (WhatsApp, Telegram, Facebook)|exploração da expectativa por saques do FGTS e engenharia social|criminosos enviam links maliciosos com falsos cadastros, solicitam permissões e roubam dados para saques indevidos e fraudes|
404|vítimas do vazamento de dados (mais de 200 milhões de brasileiros)|vazamento de CPFs, endereços e salários, risco de golpes e fraudes|||exploração de vulnerabilidades em sistemas e falta de proteção de dados|coleta indevida de informações pessoais através de links suspeitos e termos de uso mal compreendidos
405|Eletronuclear (subsidiária da Eletrobras)|ataque de ransomware na rede administrativa, sem impacto nas operações das usinas||rede administrativa da Eletronuclear|vulnerabilidade nos sistemas administrativos|ataque via ransomware, isolamento da rede afetada e erradicação do vírus
406|vítimas de golpes no WhatsApp (mais de 5 milhões no Brasil)|roubo de códigos de recuperação do WhatsApp e acesso a dados pessoais||WhatsApp|engenharia social e falta de autenticação em duas etapas|golpistas enganam vítimas para obter códigos de recuperação e clonar contas
407|223 milhões de CPFs, 40 milhões de CNPJs, 104 milhões de registros de veículos|vazamento de dados pessoais e empresariais em grande escala||internet (fóruns hackers)|falhas de segurança em bases de dados e possível ação de insiders|dados compilados de múltiplas fontes e disponibilizados gratuitamente ou à venda
408|223 milhões de brasileiros (incluindo falecidos)|vazamento de fotos, salários, endereços e outros dados sensíveis||dados disponibilizados na internet aberta e comercializados em fóruns|falhas na proteção de dados e possível ação de insiders|dados compilados e vendidos por criminosos, facilitando fraudes bancárias e golpes
409|idosos brasileiros (público-alvo preferencial de golpistas)|golpes bancários, phishing, fraudes por PIX e falsas promessas de benefícios||redes sociais, mensagens (WhatsApp/SMS) e ligações fraudulentas|baixa familiaridade digital e falta de orientação sobre segurança|engenharia social, mensagens urgentes com links falsos e falsas centrais de atendimento
410|brasileiros (principalmente jovens de 16-29 anos e idosos)|golpes virtuais, fraudes bancárias e estelionatos digitais, prejuízos de R$ 2,3 trilhões||redes sociais, aplicativos de mensagem (WhatsApp/Telegram), compras online|engenharia social, dados vazados e falta de atenção aos riscos digitais|clonagem de cartões, centrais falsas de banco, golpes do PIX e mensagens fraudulentas
411|vítimas de golpes digitais no Brasil|golpes via WhatsApp, links falsos, QR Codes adulterados e apps clonados||WhatsApp, QR Codes, aplicativos falsos|engenharia social e falta de verificação de fontes|clonagem de apps, mensagens fraudulentas e centrais falsas de atendimento
412|vítimas de falsos advogados (como a engenheira Ana Luisa e a designer Ivone)|golpes com promessa de liberação de valores judiciais via PIX, prejuízo de R$ 15 mil||WhatsApp e redes sociais|uso indevido de dados de processos e engenharia social|falsos advogados enviam mensagens convincentes solicitando pagamentos para liberar supostas indenizações
